ime,dirkalisce,drzava,datum,prvenstvo,zmagovalec
Brands Hatch British F2,Motor Show 200,GBR,30/10/1966,Autocar British F2 Championship,Jochen Rindt
Mexican Grand Prix,Gran Premio de Mexico,MEX,23/10/1966,F1 World Championship,John Surtees
Sacramento Indycars,Golden State 100,USA,23/10/1966,USAC National Championship,Dick Atkins
Charlotte NASCAR,National 500,USA,16/10/1966,NASCAR Grand National,Lee Roy Yarbrough
Monterey Grand Prix,Monterey Grand Prix,USA,16/10/1966,Can-Am Challenge,Phil Hill
Kyalami F1,Rand Spring Trophy,ZAF,10/10/1966,South African Drivers Championship,Dave Charlton
United States Grand Prix,United States Grand Prix,USA,02/10/1966,F1 World Championship,Jim Clark
North Wilkesboro NASCAR,Wilkes 400,USA,02/10/1966,NASCAR Grand National,Dick Hutcherson
Trenton Indycars,Trenton 200,USA,25/09/1966,USAC National Championship,Mario Andretti
Martinsville NASCAR,Old Dominion 500,USA,25/09/1966,NASCAR Grand National,Fred Lorenzen
Canadian Grand Prix,Canadian Grand Prix,CAN,24/09/1966,Can-Am Challenge,Mark Donohue
Hillsborough NASCAR,Joe Weatherly Memorial 150,USA,18/09/1966,NASCAR Grand National,Dick Hutcherson
Bridgehampton Can-Am,Bridgehampton Grand Prix,USA,18/09/1966,Can-Am Challenge,Dan Gurney
Oulton Park Gold Cup,International Gold Cup,GBR,17/09/1966,Non-championship,Jack Brabham
Richmond NASCAR,Capital City 300,USA,11/09/1966,NASCAR Grand National,David Pearson
St Jovite Can-Am,Player&#039;s Quebec,CAN,11/09/1966,Can-Am Challenge,John Surtees
Indiana State Fair Indycars,Hoosier 100,USA,10/09/1966,USAC National Championship,Mario Andretti
Hickory NASCAR,Buddy Shuman Memorial,USA,09/09/1966,NASCAR Grand National,David Pearson
Du Quoin Indycars,Ted Horn Memorial/Du Quoin 100,USA,05/09/1966,USAC National Championship,Bud Tingelstad
Darlington NASCAR,Southern 500,USA,05/09/1966,NASCAR Grand National,Darel Dieringer
