ime,dirkalisce,drzava,leto,prvenstvo,zmagovalec 
Brno DTM,,CZE,1988,Deutsche Tourenwagen Meisterschaft,Armin Hahne
Brno DTM,,CZE,1988,Deutsche Tourenwagen Meisterschaft,Dany Snobeck
Monaco Grand Prix,Grand Prix de Monaco,MCO,1988,F1 World Championship,Alain Prost
Rome Grand Prix,Gran Premio di Roma,ITA,1988,FIA International F3000 Championship,Gregor Foitek
Silverstone 1000Kms,Autosport 1000 kms,GBR,1988,Martin Brundle,Eddie Cheever
San Marino Grand Prix,Gran Premio di San Marino,ITA,1988,F1 World Championship,Ayrton Senna
Talladega NASCAR,Winston 500,USA,1988,Winston Cup,Phil Parsons
Portuguese MotoGP,Gran Premio de Portugal,ESP,1988,World Motorcycle Championship,Eddie Lawson
Nurburgring DTM,,DEU,1988,Deutsche Tourenwagen Meisterschaft,Kurt Thiim
Nurburgring DTM,,DEU,1988,Deutsche Tourenwagen Meisterschaft,Dany Snobeck
Martinsville NASCAR,Pannill Sweatshirts 500,USA,1988,Winston Cup,Dale Earnhardt
West Palm Beach IMSA,3-hour Grand Prix of Palm Beach,USA,1988,Geoff Brabham,John Morton
Spanish MotoGP,Gran Premio de Espana,ESP,1988,World Motorcycle Championship,Kevin Magee
Hockenheim DTM,,DEU,1988,Deutsche Tourenwagen Meisterschaft,Christian Danner
Hockenheim DTM,,DEU,1988,Deutsche Tourenwagen Meisterschaft,Christian Danner
Long Beach Grand Prix,Toyota Grand Prix of Long Beach,USA,1988,CART/PPG Indycar World Series,Al Unser jr
North Wilkesboro NASCAR,First Union 400,USA,1988,Winston Cup,Terry Labonte
Jerez F3000,Jerez F3000,ESP,1988,FIA International F3000 Championship,Johnny Herbert
Monza 1000Kms,1000 km di Monza/Trofeo Filippo Caracciolo,ITA,1988,Martin Brundle,Eddie Cheever
Phoenix Champ Cars,Checker 200,USA,1988,CART/PPG Indycar World Series,Mario Andretti
Bristol NASCAR,Valleydale Meats 500,USA,1988,Winston Cup,Bill Elliott
Phoenix Indy Lights,,USA,1988,HFC American Racing Series,Paul Tracy
Road Atlanta IMSA,Atlanta Journal-Constitution Camel Grand Prix,USA,1988,Geoff Brabham,John Morton
United States MotoGP,United States Grand Prix,USA,1988,World Motorcycle Championship,Eddie Lawson
Brazilian Grand Prix,Grande Premio do Brasil,BRA,1988,F1 World Championship,Alain Prost
Darlington NASCAR,Transouth 500,USA,1988,Winston Cup,Lake Speed
Japanese MotoGP,Grand Prix of Japan,JPN,1988,World Motorcycle Championship,Kevin Schwantz
Sebring 12 Hours,Camel Grand Prix 12 Hours of Sebring,USA,1988,Klaus Ludwig,Hans-Joachim Stuck
Atlanta NASCAR,Motorcraft Quality Parts 500,USA,1988,Winston Cup,Dale Earnhardt
Jarama 360Kms,Jarama 360 kms,ESP,1988,Martin Brundle,Eddie Cheever
Jerez 800Kms,Jerez 800 kms,ESP,1988,Jochen Mass,Jean-Louis Schlesser
North Carolina NASCAR,Goodwrench 500,USA,1988,Winston Cup,Neil Bonnett
Zolder DTM,,BEL,1988,Deutsche Tourenwagen Meisterschaft,Klaus Ludwig
Zolder DTM,,BEL,1988,Deutsche Tourenwagen Meisterschaft,Klaus Ludwig
Miami IMSA,3-hour Camel GT Grand Prix of Miami,USA,1988,Price Cobb,James Weaver
Richmond NASCAR,Pontiac Excitement 400,USA,1988,Winston Cup,Neil Bonnett
Daytona 500,Daytona 500,USA,1988,Winston Cup,Bobby Allison
Daytona 24 Hours,Sunbank Daytona 24 Hours,USA,1988,Jan Lammers,John Nielsen
Macau Grand Prix,Grande Premio de Macau,MAC,1987,Non-championship,Martin Donnelly
Atlanta NASCAR,Atlanta Journal 500,USA,1987,Winston Cup,Bill Elliott
Australian Grand Prix,Foster&#039;s Australian Grand Prix,AUS,1987,F1 World Championship,Gerhard Berger
Fuji WTCC,InterTec 500,JPN,1987,Klaus Ludwig,Klaus Niedzwiedz
Riverside NASCAR,Winston Western 500,USA,1987,Winston Cup,Rusty Wallace
Japanese Grand Prix,Fuji Television Japanese Grand Prix,JPN,1987,F1 World Championship,Gerhard Berger
Miami Champ Cars,Nissan Indy Challenge,USA,1987,CART/PPG Indycar World Series,Michael Andretti
Miami Indy Lights,,USA,1987,American Racing Series,Jeff Andretti
Phoenix Can-Am,,USA,1987,Can-Am Challenge,Bill Tempero
Wellington WTCC,Nissan/Mobil 500,NZL,1987,Klaus Ludwig,Klaus Niedzwiedz
North Carolina NASCAR,AC Delco 500,USA,1987,Winston Cup,Bill Elliott
Del Mar IMSA,2-hour Camel Grand Prix of Southern California,USA,1987,IMSA Camel GT Championship,Jochen Mass
Mexican Grand Prix,Gran Premio de Mexico,MEX,1987,F1 World Championship,Nigel Mansell
Jarama F3000,Jarama F3000,ESP,1987,FIA International F3000 Championship,Yannick Dalmas
Cellnet Superprix,Cellnet Superprix,GBR,1987,EFDA F3 Euroseries,Johnny Herbert
Monterey Grand Prix,Champion Spark Plug 300 kms,USA,1987,CART/PPG Indycar World Series,Bobby Rahal
Charlotte NASCAR,Oakwood Homes 500,USA,1987,Winston Cup,Bill Elliott
Laguna Seca Indy Lights,,USA,1987,American Racing Series,David Simpson
Calder WTCC,Bob Jane T-Marts 500,AUS,1987,Steve Soper,Pierre Dieudonne
Bathurst 1000,James Hardie 1000,AUS,1987,Peter McLeod,David Parsons
North Wilkesboro NASCAR,Holly Farms 400,USA,1987,Winston Cup,Terry Labonte
Columbus IMSA,Columbus Ford Dealers 500,USA,1987,IMSA Camel GT Championship,Bobby Rahal
Argentinian MotoGP,Gran Premio de Argentina,ARG,1987,World Motorcycle Championship,Eddie Lawson
European F3 Cup,FIA European F3 Cup,GBR,1987,European F3 Cup,Steve Kempton
Spanish Grand Prix,Gran Premio Tio Pepe de Espana,ESP,1987,F1 World Championship,Nigel Mansell
Le Mans F3000,Le Mans F3000,FRA,1987,FIA International F3000 Championship,Luis Perez Sala
Fuji 1000Kms,Fuji 1000 kms,JPN,1987,Jan Lammers,John Watson
Martinsville NASCAR,Goody&#039;s 500,USA,1987,Winston Cup,Darrell Waltrip
Brazilian MotoGP,Gran Premio do Brasil,BRA,1987,World Motorcycle Championship,Wayne Gardner
Portuguese Grand Prix,Grande Premio de Portugal,PRT,1987,F1 World Championship,Alain Prost
Nazareth Champ Cars,Bosch Spark Plug Grand Prix,USA,1987,CART/PPG Indycar World Series,Michael Andretti
Dover Downs NASCAR,Delaware 500,USA,1987,Winston Cup,Ricky Rudd
Nazareth Indy Lights,,USA,1987,American Racing Series,Michael Groff
Imola F3000,Imola F3000,ITA,1987,FIA International F3000 Championship,Stefano Modena
Spa 1000Kms,1000 km de Spa-Francorchamps Kouros,BEL,1987,Martin Brundle,Johnny Dumfries
Richmond NASCAR,Wrangler Jeans Indigo 400,USA,1987,Winston Cup,Dale Earnhardt
Portuguese MotoGP,Gran Premio de Portugal,ESP,1987,World Motorcycle Championship,Eddie Lawson
Pueblo Can-Am,,USA,1987,Can-Am Challenge,Bill Tempero
Italian Grand Prix,Gran Premio d&#039;Italia,ITA,1987,F1 World Championship,Nelson Piquet
Tourist Trophy,Istel RAC Tourist Trophy,GBR,1987,Enzo Calderari,Fabio Mancini
Mid-Ohio Champ Cars,Escort Radar Warning 200,USA,1987,CART/PPG Indycar World Series,Roberto Guerrero
Darlington NASCAR,Southern 500,USA,1987,Winston Cup,Dale Earnhardt
Mid-Ohio Indy Lights,,USA,1987,American Racing Series,Juan Manuel Fangio II
San Antonio IMSA,Nissan 3-hour Camel Grand Prix of San Antonio,USA,1987,Al Holbert,Chip Robinson
Birmingham F3000,Halfords Birmingham Superprix,GBR,1987,FIA International F3000 Championship,Stefano Modena
Nurburgring 1000Kms,ADAC 1000 km-Rennen,DEU,1987,Raul Boesel,Eddie Cheever
Road America Champ Cars,Living Well/Provimi Veal 200,USA,1987,CART/PPG Indycar World Series,Mario Andretti
San Marino MotoGP,Gran Premio di San Marino,ITA,1987,World Motorcycle Championship,Randy Mamola
Czechoslovakian MotoGP,Czechoslovakian Grand Prix,CZE,1987,World Motorcycle Championship,Wayne Gardner
Salzburgring DTM,,AUT,1987,Deutsche Tourenwagen Meisterschaft,Armin Hahne
Bristol NASCAR,Busch 500,USA,1987,Winston Cup,Dale Earnhardt
Austrian Grand Prix,Grosser Preis von Osterreich,AUT,1987,F1 World Championship,Nigel Mansell
Pocono 500,Quaker State 500,USA,1987,CART/PPG Indycar World Series,Rick Mears
Michigan NASCAR,Champion Spark Plug 400,USA,1987,Winston Cup,Bill Elliott
Pocono Indy Lights,,USA,1987,American Racing Series,Tommy Byrne
Road America IMSA,Lowenbrau Classic,USA,1987,Price Cobb,Johnny Dumfries
Sanair Can-Am,,CAN,1987,Can-Am Challenge,Bill Tempero
Brno WTCC,Grand Prix CSSR,CZE,1987,Klaus Ludwig,Klaus Niedzwiedz
Watkins Glen NASCAR,The Budweiser at The Glen,USA,1987,Winston Cup,Rusty Wallace
Hungarian Grand Prix,Magyar Nagydij,HUN,1987,F1 World Championship,Nelson Piquet
Diepholz DTM,,DEU,1987,Deutsche Tourenwagen Meisterschaft,Fabien Giroix
Swedish MotoGP,Sveriges Grand Prix,SWE,1987,World Motorcycle Championship,Wayne Gardner
Brands Hatch F3000,Brands Hatch F3000,GBR,1987,FIA International F3000 Championship,Julian Bailey
Knutstorp EFDA F3,Knutstorp EFDA F3 Euroseries - Race 2,SWE,1987,EFDA F3 Euroseries,Dave Coyne
Michigan 500,Marlboro 500,USA,1987,CART/PPG Indycar World Series,Michael Andretti
Sears Point IMSA,Ford California Camel Grand Prix,USA,1987,IMSA Camel GT Championship,Jochen Mass
British MotoGP,British Grand Prix,GBR,1987,World Motorcycle Championship,Eddie Lawson
Wunstorf DTM,,DEU,1987,Deutsche Tourenwagen Meisterschaft,Harald Grohs
Knutstorp EFDA F3,Knutstorp EFDA F3 Euroseries - Race 1,SWE,1987,EFDA F3 Euroseries,Peter Zakowski
Spa 24 Hours,24 heures de Spa-Francorchamps,BEL,1987,Eric van de Poele,Didier Theys
German Grand Prix,Grosser Preis von Deutschland,DEU,1987,F1 World Championship,Nelson Piquet
Brands Hatch 1000Kms,Shell Gemini 1000 kms,GBR,1987,Raul Boesel,John Nielsen
Talladega NASCAR,Talladega 500,USA,1987,Winston Cup,Bill Elliott
Portland IMSA,GI Joe&#039;s Camel Grand Prix,USA,1987,IMSA Camel GT Championship,Chip Robinson
Mediterranean Grand Prix,Gran Premio del Mediterraneo,ITA,1987,FIA International F3000 Championship,Roberto Moreno
Nurburgring EFDA F3,Nurburgring EFDA F3 Euroseries - Race 2,DEU,1987,EFDA F3 Euroseries,Victor Rosso
Toronto Champ Cars,Molson Indy Toronto,CAN,1987,CART/PPG Indycar World Series,Emerson Fittipaldi
Pocono NASCAR,Summer 500,USA,1987,Winston Cup,Dale Earnhardt
Toronto Indy Lights,,CAN,1987,American Racing Series,Tommy Byrne
Milwaukee Can-Am,,USA,1987,Can-Am Challenge,Bill Tempero
French MotoGP,Grand Prix de France,FRA,1987,World Motorcycle Championship,Randy Mamola
Nurburgring EFDA F3,Nurburgring EFDA F3 Euroseries - Race 1,DEU,1987,EFDA F3 Euroseries,Roland Ratzenberger
British Grand Prix,Shell Oils British Grand Prix,GBR,1987,F1 World Championship,Nigel Mansell
Nurburgring WTCC,ADAC Tourenwagen Grand Prix,DEU,1987,Klaus Ludwig,Klaus Niedzwiedz
Nurburgring DTM,,DEU,1987,Deutsche Tourenwagen Meisterschaft,Klaus Ludwig
French Grand Prix,Grand Prix de France,FRA,1987,F1 World Championship,Nigel Mansell
Cleveland Champ Cars,Budweiser Cleveland Grand Prix,USA,1987,CART/PPG Indycar World Series,Emerson Fittipaldi
Cleveland Indy Lights,,USA,1987,American Racing Series,Didier Theys
Watkins Glen IMSA,500 kms Camel Continental,USA,1987,Price Cobb,Vern Schuppan
Daytona NASCAR,Pepsi Firecracker 400,USA,1987,Winston Cup,Bobby Allison
Donington F3000,Donington Park F3000,GBR,1987,FIA International F3000 Championship,Luis Perez Sala
Norisring 200 miles,200 Meilen von Nurnberg,DEU,1987,Mauro Baldi,Jonathan Palmer
Meadowlands Champ Cars,Chase Grand Prix at the Meadowlands,USA,1987,CART/PPG Indycar World Series,Bobby Rahal
Michigan NASCAR,Miller American 400,USA,1987,Winston Cup,Dale Earnhardt
Meadowlands Indy Lights,,USA,1987,American Racing Series,Didier Theys
Norisring DTM,,DEU,1987,Deutsche Tourenwagen Meisterschaft,Olaf Manthey
Dutch TT MotoGP,Dutch TT,NLD,1987,World Motorcycle Championship,Eddie Lawson
Detroit Grand Prix,Detroit Grand Prix,USA,1987,F1 World Championship,Ayrton Senna
Riverside NASCAR,Budweiser 400,USA,1987,Winston Cup,Tim Richmond
West Palm Beach IMSA,3-hour Grand Prix of Palm Beach,USA,1987,Hurley Haywood,John Morton
Portland Champ Cars,Budweiser GI Joe&#039;s 200,USA,1987,CART/PPG Indycar World Series,Bobby Rahal
Pocono NASCAR,Miller High Life 500,USA,1987,Winston Cup,Tim Richmond
Yugoslavian MotoGP,Yugoslavian Grand Prix,YUG,1987,World Motorcycle Championship,Wayne Gardner
Le Mans 24 Hours,24 heures du Mans,FRA,1987,Al Holbert,Hans-Joachim Stuck
Pau Grand Prix,Grand Prix de Pau,FRA,1987,FIA International F3000 Championship,Yannick Dalmas
Mid-Ohio IMSA,500 kms Champion Spark Plug Camel Grand Prix,USA,1987,Jochen Mass,Bobby Rahal
Hallett Can-Am,,USA,1987,Can-Am Challenge,Al Lamb
Austrian MotoGP,Grosser Preis von Osterreich,AUT,1987,World Motorcycle Championship,Wayne Gardner
Monaco Grand Prix,Grand Prix de Monaco,MCO,1987,F1 World Championship,Ayrton Senna
Milwaukee Champ Cars,Miller American 200,USA,1987,CART/PPG Indycar World Series,Michael Andretti
Dover Downs NASCAR,Budweiser 500,USA,1987,Winston Cup,Davey Allison
Milwaukee Indy Lights,,USA,1987,American Racing Series,Didier Theys
Mainz-Finthen DTM,,DEU,1987,Deutsche Tourenwagen Meisterschaft,Manuel Reuter
Lime Rock IMSA,150-lap Camel Grand Prix,USA,1987,IMSA Camel GT Championship,Al Holbert
Indianapolis 500,Indianapolis 500,USA,1987,CART/PPG Indycar World Series,Al Unser
World 600,Coca-Cola 600,USA,1987,Winston Cup,Kyle Petty
Nations MotoGP,Gran Premio delle Nazioni,ITA,1987,World Motorcycle Championship,Wayne Gardner
Belgian Grand Prix,Grand Prix de Belgique,BEL,1987,F1 World Championship,Alain Prost
German MotoGP,Grosser Preis von Deutschland,DEU,1987,World Motorcycle Championship,Eddie Lawson
Spa F3000,Grand Prix de Belgique Formule 3000,BEL,1987,FIA International F3000 Championship,Michel Trolle
Rome Grand Prix,Gran Premio di Roma,ITA,1987,FIA International F3000 Championship,Stefano Modena
Silverstone 1000Kms,Autoglass 1000 kms,GBR,1987,Raul Boesel,Eddie Cheever
Dijon WTCC,Burgundy 500,FRA,1987,Gianfranco Brancatelli,Johnny Cecotto
Avus DTM,,DEU,1987,Deutsche Tourenwagen Meisterschaft,Frank Biela
San Marino Grand Prix,Gran Premio di San Marino,ITA,1987,F1 World Championship,Nigel Mansell
Talladega NASCAR,Winston 500,USA,1987,Winston Cup,Davey Allison
Laguna Seca IMSA,Nissan Monterey Triple Crown/Budweiser Grand Prix,USA,1987,IMSA Camel GT Championship,Klaus Ludwig
Willow Springs Can-Am,,USA,1987,Can-Am Challenge,Buddy Lazier
Martinsville NASCAR,Sovran Bank 500,USA,1987,Winston Cup,Dale Earnhardt
Riverside IMSA,Los Angeles Times Camel Grand Prix of Endurance,USA,1987,Hurley Haywood,John Morton
Spanish MotoGP,Gran Premio de Espana,ESP,1987,World Motorcycle Championship,Wayne Gardner
Nurburgring DTM,,DEU,1987,Deutsche Tourenwagen Meisterschaft,Manuel Reuter
Jarama WTCC,Marlboro 4 Hours,ESP,1987,Emanuele Pirro,Roberto Ravaglia
Brazilian Grand Prix,Grande Premio do Brasil,BRA,1987,F1 World Championship,Alain Prost
International Trophy,Marlboro International Trophy,GBR,1987,FIA International F3000 Championship,Mauricio Gugelmin
Monza 1000Kms,1000 km di Monza/Trofeo Filippo Caracciolo,ITA,1987,Jan Lammers,John Watson
Phoenix Champ Cars,Checker 200,USA,1987,CART/PPG Indycar World Series,Roberto Guerrero
Bristol NASCAR,Valleydale Meats 500,USA,1987,Winston Cup,Dale Earnhardt
Phoenix Indy Lights,,USA,1987,American Racing Series,Jeff Andretti
Road Atlanta IMSA,Atlanta Journal-Constitution Camel Grand Prix,USA,1987,Price Cobb,James Weaver
Zolder DTM,,BEL,1987,Deutsche Tourenwagen Meisterschaft,Marc Hessel
Long Beach Grand Prix,Toyota Grand Prix of Long Beach,USA,1987,CART/PPG Indycar World Series,Mario Andretti
North Wilkesboro NASCAR,First Union 400,USA,1987,Winston Cup,Dale Earnhardt
Jerez 1000Kms,Jerez 1000 kms,ESP,1987,Raul Boesel,Eddie Cheever
Darlington NASCAR,Transouth 500,USA,1987,Winston Cup,Dale Earnhardt
Japanese MotoGP,Grand Prix of Japan,JPN,1987,World Motorcycle Championship,Randy Mamola
Hockenheim DTM,,DEU,1987,Deutsche Tourenwagen Meisterschaft,Harald Grohs
Jarama 360Kms,Gran Premio Fortuna,ESP,1987,Jan Lammers,John Watson
Monza WTCC,500 Km di Monza,ITA,1987,Allan Moffat,John Harvey
Sebring 12 Hours,Camel Grand Prix 12 Hours of Sebring,USA,1987,Jochen Mass,Bobby Rahal
Atlanta NASCAR,Motorcraft Quality Parts 500,USA,1987,Winston Cup,Ricky Rudd
Richmond NASCAR,Miller High Life 400,USA,1987,Winston Cup,Dale Earnhardt
North Carolina NASCAR,Goodwrench 500,USA,1987,Winston Cup,Dale Earnhardt
Miami IMSA,3-hour Camel GT Grand Prix of Miami,USA,1987,Geoff Brabham,Elliott Forbes-Robinson
Daytona 500,Daytona 500,USA,1987,Winston Cup,Bill Elliott
Daytona 24 Hours,Sunbank Daytona 24 Hours,USA,1987,Chip Robinson,Al Unser jr
Macau Grand Prix,Grande Premio de Macau,MAC,1986,Non-championship,Andy Wallace
Riverside NASCAR,Winston Western 500,USA,1986,Winston Cup,Tim Richmond
Miami Champ Cars,Nissan Indy Challenge,USA,1986,CART/PPG Indycar World Series,Al Unser jr
Miami Indy Lights,,USA,1986,American Racing Series,Fabrizio Barbazza
Atlanta NASCAR,Atlanta Journal 500,USA,1986,Winston Cup,Dale Earnhardt
Australian Grand Prix,Foster&#039;s Australian Grand Prix,AUS,1986,F1 World Championship,Alain Prost
Daytona IMSA,Eastern Airlines 3-hour Camel Grand Prix,USA,1986,Chip Robinson,Bob Tullius
Hallett Can-Am,,USA,1986,Can-Am Challenge,Al Lamb
European F3 Cup,FIA F3 Coppa Europa,ITA,1986,European F3 Cup,Stefano Modena
Phoenix Champ Cars,Circle K Fiesta Bowl 200,USA,1986,CART/PPG Indycar World Series,Michael Andretti
North Carolina NASCAR,Nationwise 500,USA,1986,Winston Cup,Neil Bonnett
Phoenix Indy Lights,,USA,1986,American Racing Series,Fabrizio Barbazza
Mexican Grand Prix,Gran Premio de Mexico,MEX,1986,F1 World Championship,Gerhard Berger
Monterey Grand Prix,Champion Spark Plug 300 kms,USA,1986,CART/PPG Indycar World Series,Bobby Rahal
Laguna Seca Indy Lights,,USA,1986,American Racing Series,Fabrizio Barbazza
Fuji 1000Kms,Fuji 1000 kms,JPN,1986,Paolo Barilla,Piercarlo Ghinzani
Jarama F3000,Jarama F3000,ESP,1986,FIA International F3000 Championship,Pierluigi Martini
Charlotte NASCAR,Oakwood Homes 500,USA,1986,Winston Cup,Dale Earnhardt
Columbus IMSA,Columbus Ford Dealers 500,USA,1986,Scott Pruett,Bob Wollek
Road America Champ Cars,Race for Life 200,USA,1986,CART/PPG Indycar World Series,Emerson Fittipaldi
Road America Indy Lights,,USA,1986,American Racing Series,Michael Groff
Le Mans F3000,Le Mans F3000,FRA,1986,FIA International F3000 Championship,Emanuele Pirro
Michigan Champ Cars,Pepsi Cola 250,USA,1986,CART/PPG Indycar World Series,Bobby Rahal
North Wilkesboro NASCAR,Holly Farms 400,USA,1986,Winston Cup,Darrell Waltrip
Portuguese Grand Prix,Grande Premio de Portugal,PRT,1986,F1 World Championship,Nigel Mansell
Martinsville NASCAR,Goody&#039;s 500,USA,1986,Winston Cup,Rusty Wallace
Watkins Glen IMSA,Kodak Copier 500,USA,1986,John Andretti,Davy Jones
Nurburgring DTM,,DEU,1986,Deutsche Tourenwagen Meisterschaft,Manuel Reuter
Spa 1000Kms,1000 km de Spa-Francorchamps Kouros,BEL,1986,Thierry Boutsen,Frank Jelinski
Dover Downs NASCAR,Delaware 500,USA,1986,Winston Cup,Ricky Rudd
Mosport Park Can-Am,,CAN,1986,Can-Am Challenge,Paul Tracy
Italian Grand Prix,Gran Premio d&#039;Italia,ITA,1986,F1 World Championship,Nelson Piquet
Sanair Champ Cars,Molson Indy Montreal,CAN,1986,CART/PPG Indycar World Series,Bobby Rahal
Richmond NASCAR,Wrangler Jeans Indigo 400,USA,1986,Winston Cup,Tim Richmond
Mid-Ohio Champ Cars,Escort Radar Warning 200,USA,1986,CART/PPG Indycar World Series,Bobby Rahal
Darlington NASCAR,Southern 500,USA,1986,Winston Cup,Tim Richmond
Mid-Ohio Indy Lights,,USA,1986,American Racing Series,Steve Millen
Birmingham F3000,Halfords Birmingham Superprix,GBR,1986,FIA International F3000 Championship,Luis Perez Sala
Nurburgring 1000Kms,ADAC Kouros 1000 km-Rennen,DEU,1986,Henri Pescarolo,Mike Thackwell
Road America IMSA,Lowenbrau Classic,USA,1986,Al Holbert,Al Unser jr
San Marino MotoGP,Gran Premio di San Marino,ITA,1986,World Motorcycle Championship,Eddie Lawson
Bristol NASCAR,Busch 500,USA,1986,Winston Cup,Darrell Waltrip
Austrian Grand Prix,Grosser Preis von Osterreich,AUT,1986,F1 World Championship,Alain Prost
Pocono 500,Domino&#039;s Pizza 500,USA,1986,CART/PPG Indycar World Series,Mario Andretti
Michigan NASCAR,Champion Spark Plug 400,USA,1986,Winston Cup,Bill Elliott
Pocono Indy Lights,,USA,1986,American Racing Series,Jeff Andretti
Zolder DTM,,BEL,1986,Deutsche Tourenwagen Meisterschaft,Kurt Konig
Osterreichring F3000,Osterreichring F3000,AUT,1986,FIA International F3000 Championship,Ivan Capelli
Hungarian Grand Prix,Magyar Nagydij,HUN,1986,F1 World Championship,Nelson Piquet
Watkins Glen NASCAR,The Budweiser at The Glen,USA,1986,Winston Cup,Tim Richmond
Swedish MotoGP,Sveriges Grand Prix,SWE,1986,World Motorcycle Championship,Eddie Lawson
Jerez 360Kms,Trofeo Silk Cut,ESP,1986,Oscar Larrauri,Jesus Pareja
Sears Point IMSA,Sears Point 300 kms Grand Prix,USA,1986,Price Cobb,Rob Dyson
St Louis Can-Am,,USA,1986,Can-Am Challenge,Lou Sell
British MotoGP,British Grand Prix,GBR,1986,World Motorcycle Championship,Wayne Gardner
Michigan 500,Michigan 500,USA,1986,CART/PPG Indycar World Series,Johnny Rutherford
German Grand Prix,Grosser Preis von Deutschland,DEU,1986,F1 World Championship,Nelson Piquet
Talladega NASCAR,Talladega 500,USA,1986,Winston Cup,Bobby Hillin jr
Portland IMSA,GI Joe&#039;s Grand Prix,USA,1986,IMSA Camel GT Championship,Al Holbert
Mediterranean Grand Prix,Gran Premio del Mediterraneo,ITA,1986,FIA International F3000 Championship,Luis Perez Sala
Brands Hatch 1000Kms,Shell Gemini 1000 kms,GBR,1986,Mauro Baldi,Bob Wollek
Toronto Champ Cars,Molson Indy Toronto,CAN,1986,CART/PPG Indycar World Series,Bobby Rahal
Pocono NASCAR,Summer 500,USA,1986,Winston Cup,Tim Richmond
Toronto Indy Lights,,CAN,1986,American Racing Series,Fabrizio Barbazza
French MotoGP,Grand Prix de France,FRA,1986,World Motorcycle Championship,Eddie Lawson
British Grand Prix,Shell Oils British Grand Prix,GBR,1986,F1 World Championship,Nigel Mansell
Nurburgring DTM,,DEU,1986,Deutsche Tourenwagen Meisterschaft,Kurt Thiim
French Grand Prix,Grand Prix de France,FRA,1986,F1 World Championship,Nigel Mansell
Cleveland Champ Cars,Budweiser Cleveland Grand Prix,USA,1986,CART/PPG Indycar World Series,Danny Sullivan
Watkins Glen IMSA,Camel Continental,USA,1986,Derek Bell,Al Holbert
Summit Point Can-Am,,USA,1986,Can-Am Challenge,Bill Tempero
Belgian MotoGP,Grand Prix de Belgique,BEL,1986,World Motorcycle Championship,Randy Mamola
Daytona NASCAR,Firecracker 400,USA,1986,Winston Cup,Tim Richmond
Mugello F3000,Gran Premio di Mugello,ITA,1986,FIA International F3000 Championship,Pierluigi Martini
Norisring 200 miles,200 Meilen von Nurnberg,DEU,1986,World Sports-Prototype Championship,Klaus Ludwig
Meadowlands Champ Cars,Chase Grand Prix at the Meadowlands,USA,1986,CART/PPG Indycar World Series,Danny Sullivan
Meadowlands Indy Lights,,USA,1986,American Racing Series,Fabrizio Barbazza
Dutch TT MotoGP,Dutch TT,NLD,1986,World Motorcycle Championship,Wayne Gardner
Detroit Grand Prix,Detroit Grand Prix,USA,1986,F1 World Championship,Ayrton Senna
West Palm Beach IMSA,Grand Prix of West Palm Beach,USA,1986,Doc Bundy,Sarel van der Merwe
Portland Champ Cars,Budweiser GI Joe&#039;s 200,USA,1986,CART/PPG Indycar World Series,Mario Andretti
Michigan NASCAR,Miller American 400,USA,1986,Winston Cup,Bill Elliott
Yugoslavian MotoGP,Yugoslavian Grand Prix,YUG,1986,World Motorcycle Championship,Eddie Lawson
Canadian Grand Prix,Grand Prix Labatt du Canada,CAN,1986,F1 World Championship,Nigel Mansell
Imola F3000,Trofeo Elio de Angelis,ITA,1986,FIA International F3000 Championship,Pierluigi Martini
Milwaukee Champ Cars,Miller American 200,USA,1986,CART/PPG Indycar World Series,Michael Andretti
Pocono NASCAR,Miller High Life 500,USA,1986,Winston Cup,Tim Richmond
Milwaukee Indy Lights,,USA,1986,American Racing Series,Michael Groff
Mid-Ohio IMSA,500 kms Mid-Ohio Camel Grand Prix,USA,1986,Derek Bell,Al Holbert
Austrian MotoGP,Grosser Preis von Osterreich,AUT,1986,World Motorcycle Championship,Eddie Lawson
Wunstorf DTM,,DEU,1986,Deutsche Tourenwagen Meisterschaft,Kurt Thiim
Riverside NASCAR,Budweiser 400,USA,1986,Winston Cup,Darrell Waltrip
Mosport Park Can-Am,,CAN,1986,Can-Am Challenge,Horst Kroll
Mainz-Finthen DTM,,DEU,1986,Deutsche Tourenwagen Meisterschaft,Klaus Niedzwiedz
Indianapolis 500,Indianapolis 500,USA,1986,CART/PPG Indycar World Series,Bobby Rahal
Le Mans 24 Hours,24 heures du Mans,FRA,1986,Al Holbert,Hans-Joachim Stuck
Lime Rock IMSA,Lime Rock 150-lap Camel Grand Prix,USA,1986,IMSA Camel GT Championship,Al Holbert
Belgian Grand Prix,Grand Prix de Belgique,BEL,1986,F1 World Championship,Nigel Mansell
World 600,Coca-Cola 600,USA,1986,Winston Cup,Dale Earnhardt
German MotoGP,Grosser Preis von Deutschland,DEU,1986,World Motorcycle Championship,Eddie Lawson
Spa F3000,Grand Prix de Belgique Formule 3000,BEL,1986,FIA International F3000 Championship,Philippe Alliot
Pau Grand Prix,Grand Prix de Pau,FRA,1986,FIA International F3000 Championship,Mike Thackwell
Dover Downs NASCAR,Budweiser 500,USA,1986,Winston Cup,Geoff Bodine
Charlotte IMSA,Charlotte 500 kms Camel Grand Prix,USA,1986,Price Cobb,Drake Olson
Nations MotoGP,Gran Premio delle Nazioni,ITA,1986,World Motorcycle Championship,Eddie Lawson
Monaco Grand Prix,Grand Prix de Monaco,MCO,1986,F1 World Championship,Alain Prost
