prvenstvo,zmagovalec 
International Touring Car Series,Klaus Ludwig
Venson British F2 Championship,Gareth Rees
F1 World Championship,Damon Hill
Winston Cup,Jeff Gordon
Manuel Reuter,Alexander Wurz
PPG Indycar World Series,Michael Andretti
PPG/Firestone Indy Lights Championship,Tony Kanaan
Giampiero Moretti,Massimiliano Papis
World Motorcycle Championship,Mick Doohan
International Touring Car Series,Hans-Joachim Stuck
International Touring Car Series,Hans-Joachim Stuck
PPG Indycar World Series,Michael Andretti
F1 World Championship,Michael Schumacher
Winston Cup,Jeff Gordon
PPG/Firestone Indy Lights Championship,Mark Hotchkis
FIA International F3000 Championship,Jorg Muller
Giampiero Moretti,Massimiliano Papis
PPG Indycar World Series,Jimmy Vasser
Indy Racing League,Buddy Lazier
Winston Cup,Dale Jarrett
World Motorcycle Championship,Mick Doohan
International Touring Car Series,Alessandro Nannini
International Touring Car Series,Alessandro Nannini
PPG/Firestone Indy Lights Championship,David Empringham
F1 World Championship,Olivier Panis
Olivier Grouillard,Andy Wallace
World Motorcycle Championship,Mick Doohan
International Touring Car Series,Jorg van Ommen
International Touring Car Series,Manuel Reuter
FIA International F3000 Championship,Kenny Brack
Venson British F2 Championship,Gareth Rees
Venson British F2 Championship,Gareth Rees
F1 World Championship,Damon Hill
Winston Cup,Rusty Wallace
Jim Pace,Wayne Taylor
PPG Indycar World Series,Michael Andretti
Winston Cup,Sterling Marlin
PPG/Firestone Indy Lights Championship,David de Silva
F1 World Championship,Jacques Villeneuve
Winston Cup,Rusty Wallace
Giampiero Moretti,Massimiliano Papis
World Motorcycle Championship,Norifumi Abe
PPG Indycar World Series,Jimmy Vasser
Ray Bellm,James Weaver
Winston Cup,Terry Labonte
PPG/Firestone Indy Lights Championship,David Empringham
International Touring Car Series,Manuel Reuter
International Touring Car Series,Jan Magnussen
F1 World Championship,Damon Hill
World Motorcycle Championship,Mick Doohan
Venson British F2 Championship,Gareth Rees
PPG Indycar World Series,Jimmy Vasser
F1 World Championship,Damon Hill
Winston Cup,Jeff Gordon
World Motorcycle Championship,Luca Cadalora
Thomas Bscher,John Nielsen
Indy Racing League,Arie Luyendyk
Winston Cup,Jeff Gordon
PPG Indycar World Series,Andre Ribeiro
Eric van de Poele,Wayne Taylor
F1 World Championship,Damon Hill
Winston Cup,Dale Earnhardt
Ray Bellm,James Weaver
PPG Indycar World Series,Jimmy Vasser
Winston Cup,Jeff Gordon
PPG/Firestone Indy Lights Championship,David Empringham
Winston Cup,Dale Earnhardt
Winston Cup,Dale Jarrett
Scott Sharp,Wayne Taylor
Indy Racing League,Buzz Calkins
Non-championship,Ralf Schumacher
F1 World Championship,Damon Hill
Winston Cup,Dale Earnhardt
Olivier Grouillard,Andy Wallace
F1 World Championship,Michael Schumacher
Winston Cup,Ricky Rudd
F1 World Championship,Michael Schumacher
Winston Cup,Ward Burton
Deutsche Tourenwagen Meisterschaft,Klaus Ludwig
Deutsche Tourenwagen Meisterschaft,Klaus Ludwig
FIA International F3000 Championship,Kenny Brack
International Touring Car Series,Bernd Schneider
International Touring Car Series,Bernd Schneider
Winston Cup,Mark Martin
IMSA World Sports Car Series,James Weaver
World Motorcycle Championship,Alex Criville
Olivier Grouillard,Andy Wallace
F1 World Championship,Michael Schumacher
Winston Cup,Mark Martin
IMSA World Sports Car Series,Fermin Velez
F1 World Championship,David Coulthard
Winston Cup,Dale Earnhardt
World Motorcycle Championship,Mick Doohan
FIA International F3000 Championship,Tarso Marques
Olivier Grouillard,Andy Wallace
Winston Cup,Jeff Gordon
World Motorcycle Championship,Luca Cadalora
Deutsche Tourenwagen Meisterschaft,Kurt Thiim
Deutsche Tourenwagen Meisterschaft,Kurt Thiim
F1 World Championship,Johnny Herbert
PPG Indycar World Series,Gil de Ferran
PPG/Firestone Indy Lights Championship,Greg Moore
IMSA World Sports Car Series,Wayne Taylor
Winston Cup,Rusty Wallace
PPG Indycar World Series,Al Unser jr
Winston Cup,Jeff Gordon
PPG/Firestone Indy Lights Championship,Pedro Chaves
F1 World Championship,Michael Schumacher
FIA International F3000 Championship,Vincenzo Sospiri
Maurizio Sandro Sala,Masanori Sekiya
Winston Cup,Terry Labonte
PPG Indycar World Series,Andre Ribeiro
Winston Cup,Bobby Labonte
PPG/Firestone Indy Lights Championship,Greg Moore
World Motorcycle Championship,Luca Cadalora
Deutsche Tourenwagen Meisterschaft,Bernd Schneider
Deutsche Tourenwagen Meisterschaft,Bernd Schneider
F1 World Championship,Damon Hill
PPG Indycar World Series,Al Unser jr
Winston Cup,Mark Martin
Andy Wallace,James Weaver
International Touring Car Series,Bernd Schneider
International Touring Car Series,Jan Magnussen
Non-championship,Norberto Fontana
Winston Cup,Dale Earnhardt
F1 World Championship,Michael Schumacher
PPG Indycar World Series,Scott Pruett
FIA International F3000 Championship,Marc Goossens
PPG Indycar World Series,Jacques Villeneuve
FIA International F3000 Championship,Ricardo Rosset
Winston Cup,Sterling Marlin
PPG/Firestone Indy Lights Championship,Greg Moore
World Motorcycle Championship,Mick Doohan
Deutsche Tourenwagen Meisterschaft,Michael Bartels
Deutsche Tourenwagen Meisterschaft,Michael Bartels
F1 World Championship,Johnny Herbert
PPG Indycar World Series,Michael Andretti
Winston Cup,Dale Jarrett
PPG/Firestone Indy Lights Championship,Greg Moore
IMSA World Sports Car Series,James Weaver
PPG Indycar World Series,Jacques Villeneuve
International Touring Car Series,Bernd Schneider
International Touring Car Series,Bernd Schneider
Winston Cup,Jeff Gordon
World Motorcycle Championship,Mick Doohan
F1 World Championship,Michael Schumacher
Michel Ferte,Olivier Thevenin
Winston Cup,Jeff Gordon
PPG Indycar World Series,Al Unser jr
PPG/Firestone Indy Lights Championship,Greg Moore
Deutsche Tourenwagen Meisterschaft,Christian Danner
Deutsche Tourenwagen Meisterschaft,Bernd Schneider
Butch Leitzinger,James Weaver
World Motorcycle Championship,Mick Doohan
Winston Cup,Bobby Labonte
JJ Lehto,Masanori Sekiya
F1 World Championship,Jean Alesi
PPG Indycar World Series,Robby Gordon
Winston Cup,Terry Labonte
PPG/Firestone Indy Lights Championship,Robbie Buhl
World Motorcycle Championship,Mick Doohan
FIA International F3000 Championship,Vincenzo Sospiri
PPG Indycar World Series,Paul Tracy
International Touring Car Series,Christian Danner
International Touring Car Series,Nicola Larini
Winston Cup,Kyle Petty
PPG/Firestone Indy Lights Championship,Greg Moore
IMSA World Sports Car Series,Wayne Taylor
F1 World Championship,Michael Schumacher
PPG Indycar World Series,Jacques Villeneuve
Winston Cup,Bobby Labonte
International Touring Car Series,Bernd Schneider
International Touring Car Series,Dario Franchitti
Mauro Baldi,Fermin Velez
World Motorcycle Championship,Daryl Beattie
F1 World Championship,Michael Schumacher
Detlef Hubner,Stefan Oberndorfer
FIA International F3000 Championship,Vincenzo Sospiri
Thomas Bscher,John Nielsen
FIA International F3000 Championship,Ricardo Rosset
Winston Cup,Dale Earnhardt
World Motorcycle Championship,Alberto Puig
Deutsche Tourenwagen Meisterschaft,Kurt Thiim
Deutsche Tourenwagen Meisterschaft,Kurt Thiim
F1 World Championship,Damon Hill
Winston Cup,Mark Martin
IMSA World Sports Car Series,James Weaver
PPG Indycar World Series,Emerson Fittipaldi
Ray Bellm,Maurizio Sandro Sala
Winston Cup,Rusty Wallace
PPG/Firestone Indy Lights Championship,Greg Moore
World Motorcycle Championship,Daryl Beattie
Deutsche Tourenwagen Meisterschaft,Bernd Schneider
Deutsche Tourenwagen Meisterschaft,Bernd Schneider
F1 World Championship,Damon Hill
PPG Indycar World Series,Al Unser jr
Ray Bellm,Maurizio Sandro Sala
Winston Cup,Dale Earnhardt
PPG/Firestone Indy Lights Championship,Greg Moore
PPG Indycar World Series,Robby Gordon
Winston Cup,Jeff Gordon
PPG/Firestone Indy Lights Championship,Greg Moore
World Motorcycle Championship,Mick Doohan
F1 World Championship,Michael Schumacher
Thomas Bscher,John Nielsen
Winston Cup,Sterling Marlin
World Motorcycle Championship,Mick Doohan
PPG Indycar World Series,Paul Tracy
Eric van de Poele,Fermin Velez
Ray Bellm,Maurizio Sandro Sala
Winston Cup,Jeff Gordon
PPG Indycar World Series,Jacques Villeneuve
Winston Cup,Terry Labonte
PPG/Firestone Indy Lights Championship,Greg Moore
Ray Bellm,Maurizio Sandro Sala
Winston Cup,Jeff Gordon
Winston Cup,Sterling Marlin
Giovanni Lavaggi,Marco Werner
Non-championship,Jan Lammers
Non-championship,Sascha Maassen
F1 World Championship,Nigel Mansell
Jacques Laffite,Bob Wollek
Winston Cup,Mark Martin
F1 World Championship,Damon Hill
Winston Cup,Terry Labonte
Venson British F2 Championship,Christian Pescatori
Winston Cup,Dale Earnhardt
F1 World Championship,Michael Schumacher
Venson British F2 Championship,Gareth Rees
PPG Indycar World Series,Paul Tracy
Winston Cup,Dale Jarrett
PPG/Firestone Indy Lights Championship,Andre Ribeiro
World Motorcycle Championship,Luca Cadalora
Deutsche Tourenwagen Meisterschaft,Kurt Thiim
Deutsche Tourenwagen Meisterschaft,Bernd Schneider
FIA International F3000 Championship,Jean-Christophe Boullion
Winston Cup,Geoff Bodine
Exxon World Sports Car Series,Jeremy Dale
F1 World Championship,Damon Hill
Winston Cup,Rusty Wallace
World Motorcycle Championship,Mick Doohan
FIA International F3000 Championship,Jean-Christophe Boullion
PPG Indycar World Series,Paul Tracy
Winston Cup,Rusty Wallace
PPG/Firestone Indy Lights Championship,Greg Moore
Deutsche Tourenwagen Meisterschaft,Nicola Larini
Deutsche Tourenwagen Meisterschaft,Nicola Larini
F1 World Championship,Damon Hill
PPG Indycar World Series,Jacques Villeneuve
World Motorcycle Championship,Luca Cadalora
Winston Cup,Terry Labonte
PPG Indycar World Series,Al Unser jr
Winston Cup,Bill Elliott
PPG/Firestone Indy Lights Championship,Andre Ribeiro
Deutsche Tourenwagen Meisterschaft,Stefano Modena
Deutsche Tourenwagen Meisterschaft,Stefano Modena
Jesus Pareja,Bob Wollek
F1 World Championship,Damon Hill
FIA International F3000 Championship,Jean-Christophe Boullion
Winston Cup,Rusty Wallace
PPG Indycar World Series,Al Unser jr
Winston Cup,Geoff Bodine
PPG/Firestone Indy Lights Championship,Greg Moore
World Motorcycle Championship,Mick Doohan
Deutsche Tourenwagen Meisterschaft,Jorg van Ommen
Deutsche Tourenwagen Meisterschaft,Jorg van Ommen
F1 World Championship,Michael Schumacher
PPG Indycar World Series,Al Unser jr
Winston Cup,Mark Martin
PPG/Firestone Indy Lights Championship,Andre Ribeiro
Exxon World Sports Car Series,Jeremy Dale
Venson British F2 Championship,Jose Luis di Palma
Non-championship,Gareth Rees
Winston Cup,Jeff Gordon
F1 World Championship,Gerhard Berger
PPG Indycar World Series,Scott Goodyear
FIA International F3000 Championship,Franck Lagorce
Winston Cup,Jimmy Spencer
Andy Evans,Fermin Velez
World Motorcycle Championship,Kevin Schwantz
Deutsche Tourenwagen Meisterschaft,Klaus Ludwig
Deutsche Tourenwagen Meisterschaft,Bernd Schneider
Michel Ferte,Michel Neugarten
PPG Indycar World Series,Michael Andretti
FIA International F3000 Championship,Gil de Ferran
Winston Cup,Geoff Bodine
PPG/Firestone Indy Lights Championship,Steve Robertson
World Motorcycle Championship,Mick Doohan
Deutsche Tourenwagen Meisterschaft,Alessandro Nannini
Deutsche Tourenwagen Meisterschaft,Manuel Reuter
F1 World Championship,Damon Hill
PPG Indycar World Series,Al Unser jr
Luciano della Noce,Anders Olofsson
Winston Cup,Ricky Rudd
PPG/Firestone Indy Lights Championship,Eddie Lawson
Giampiero Moretti,Eliseo Salazar
Venson British F2 Championship,Gianfranco Cane
F1 World Championship,Michael Schumacher
World Motorcycle Championship,Mick Doohan
Winston Cup,Jimmy Spencer
PPG Indycar World Series,Al Unser jr
PPG/Firestone Indy Lights Championship,Andre Ribeiro
Giampiero Moretti,Eliseo Salazar
Deutsche Tourenwagen Meisterschaft,Nicola Larini
Deutsche Tourenwagen Meisterschaft,Kris Nissen
World Motorcycle Championship,Mick Doohan
Winston Cup,Rusty Wallace
Yannick Dalmas,Hurley Haywood
F1 World Championship,Michael Schumacher
PPG Indycar World Series,Paul Tracy
Winston Cup,Rusty Wallace
PPG/Firestone Indy Lights Championship,Steve Robertson
World Motorcycle Championship,Mick Doohan
Venson British F2 Championship,Phil Andrews
PPG Indycar World Series,Al Unser jr
Winston Cup,Rusty Wallace
PPG/Firestone Indy Lights Championship,Steve Robertson
Venson British F2 Championship,Jose Luis di Palma
Deutsche Tourenwagen Meisterschaft,Alessandro Nannini
Deutsche Tourenwagen Meisterschaft,Klaus Ludwig
Giampiero Moretti,Eliseo Salazar
Venson British F2 Championship,Phil Andrews
PPG Indycar World Series,Al Unser jr
F1 World Championship,Damon Hill
Jean-Claude Basso,Henri Pescarolo
Winston Cup,Jeff Gordon
FIA International F3000 Championship,Massimiliano Papis
FIA International F3000 Championship,Gil de Ferran
World Motorcycle Championship,Mick Doohan
Deutsche Tourenwagen Meisterschaft,Kurt Thiim
Deutsche Tourenwagen Meisterschaft,Jorg van Ommen
F1 World Championship,Michael Schumacher
Winston Cup,Ernie Irvan
World Motorcycle Championship,Mick Doohan
Deutsche Tourenwagen Meisterschaft,Klaus Ludwig
Deutsche Tourenwagen Meisterschaft,Nicola Larini
FIA International F3000 Championship,Franck Lagorce
Michel Ferte,Michel Neugarten
Winston Cup,Dale Earnhardt
F1 World Championship,Michael Schumacher
Winston Cup,Rusty Wallace
World Motorcycle Championship,Kevin Schwantz
Deutsche Tourenwagen Meisterschaft,Alessandro Nannini
Deutsche Tourenwagen Meisterschaft,Kurt Thiim
PPG Indycar World Series,Al Unser jr
Winston Cup,Terry Labonte
PPG/Firestone Indy Lights Championship,Steve Robertson
Exxon World Sports Car Series,Jay Cochran
F1 World Championship,Michael Schumacher
PPG Indycar World Series,Emerson Fittipaldi
Winston Cup,Dale Earnhardt
PPG/Firestone Indy Lights Championship,Greg Moore
World Motorcycle Championship,Mick Doohan
Deutsche Tourenwagen Meisterschaft,Alessandro Nannini
Deutsche Tourenwagen Meisterschaft,Alessandro Nannini
Jean-Pierre Jarier,Jesus Pareja
Winston Cup,Dale Earnhardt
World Motorcycle Championship,John Kocinski
F1 World Championship,Michael Schumacher
PPG Indycar World Series,Michael Andretti
John Morton,Johnny O&#039;Connell
Winston Cup,Ernie Irvan
Jesus Pareja,Bob Wollek
Winston Cup,Ernie Irvan
Winston Cup,Rusty Wallace
Winston Cup,Sterling Marlin
Steve Millen,Scott Pruett
Non-championship,Tom Kristensen
Non-championship,Jorg Muller
Winston Cup,Rusty Wallace
F1 World Championship,Ayrton Senna
Winston Cup,Mark Martin
F1 World Championship,Ayrton Senna
Winston Cup,Rusty Wallace
FIA International F3000 Championship,Franck Lagorce
Winston Cup,Ernie Irvan
Halfords British F2 Championship,Jose Luis di Palma
PPG Indycar World Series,Paul Tracy
FIA International F3000 Championship,Franck Lagorce
Winston Cup,Rusty Wallace
Firestone Indy Lights Championship,Bryan Herta
IMSA Camel GT Championship,PJ Jones
F1 World Championship,Michael Schumacher
Winston Cup,Ernie Irvan
World Motorcycle Championship,Alex Barros
Halfords British F2 Championship,Philippe Adams
PPG Indycar World Series,Nigel Mansell
Winston Cup,Rusty Wallace
Firestone Indy Lights Championship,Bryan Herta
Deutsche Tourenwagen Meisterschaft,Alessandro Nannini
Deutsche Tourenwagen Meisterschaft,Alessandro Nannini
F1 World Championship,Damon Hill
PPG Indycar World Series,Emerson Fittipaldi
Firestone Indy Lights Championship,Bryan Herta
World Motorcycle Championship,John Kocinski
Deutsche Tourenwagen Meisterschaft,Roland Asch
Deutsche Tourenwagen Meisterschaft,Roland Asch
Halfords British F2 Championship,Mikke van Hool
Winston Cup,Rusty Wallace
Winston Cup,Mark Martin
World Motorcycle Championship,Luca Cadalora
F1 World Championship,Damon Hill
PPG Indycar World Series,Al Unser jr
Firestone Indy Lights Championship,Bryan Herta
Deutsche Tourenwagen Meisterschaft,Nicola Larini
Deutsche Tourenwagen Meisterschaft,Bernd Schneider
FIA International F3000 Championship,Olivier Panis
Winston Cup,Mark Martin
PPG Indycar World Series,Paul Tracy
FIA International F3000 Championship,Olivier Panis
World Motorcycle Championship,Wayne Rainey
F1 World Championship,Damon Hill
Winston Cup,Mark Martin
Halfords British F2 Championship,Mikke van Hool
PPG Indycar World Series,Nigel Mansell
Winston Cup,Mark Martin
Firestone Indy Lights Championship,Steve Robertson
Deutsche Tourenwagen Meisterschaft,Roland Asch
Deutsche Tourenwagen Meisterschaft,Nicola Larini
PPG Indycar World Series,Nigel Mansell
IMSA Camel GT Championship,Juan Manuel Fangio II
World Motorcycle Championship,Luca Cadalora
Non-championship,Jos Verstappen
F1 World Championship,Alain Prost
Winston Cup,Dale Earnhardt
IMSA Camel GT Championship,PJ Jones
Halfords British F2 Championship,Jose Luis di Palma
FIA International F3000 Championship,Olivier Panis
PPG Indycar World Series,Paul Tracy
FIA International F3000 Championship,David Coulthard
Winston Cup,Dale Earnhardt
Firestone Indy Lights Championship,Bryan Herta
World Motorcycle Championship,Mick Doohan
Deutsche Tourenwagen Meisterschaft,Christian Danner
Deutsche Tourenwagen Meisterschaft,Nicola Larini
F1 World Championship,Alain Prost
PPG Indycar World Series,Paul Tracy
Winston Cup,Rusty Wallace
Firestone Indy Lights Championship,Bryan Herta
Manuel Reuter,&quot;John Winter&quot;
Non-championship,Andrea Montermini
F1 World Championship,Alain Prost
World Motorcycle Championship,Wayne Rainey
Winston Cup,Dale Earnhardt
PPG Indycar World Series,Emerson Fittipaldi
Firestone Indy Lights Championship,Franck Freon
IMSA Camel GT Championship,Juan Manuel Fangio II
Deutsche Tourenwagen Meisterschaft,Nicola Larini
Deutsche Tourenwagen Meisterschaft,Nicola Larini
World Motorcycle Championship,Kevin Schwantz
Winston Cup,Ricky Rudd
Geoff Brabham,Eric Helary
Halfords British F2 Championship,Mikke van Hool
F1 World Championship,Alain Prost
PPG Indycar World Series,Danny Sullivan
Winston Cup,Kyle Petty
Firestone Indy Lights Championship,Steve Robertson
IMSA Camel GT Championship,Juan Manuel Fangio II
World Motorcycle Championship,Daryl Beattie
Deutsche Tourenwagen Meisterschaft,Nicola Larini
Deutsche Tourenwagen Meisterschaft,Nicola Larini
Winston Cup,Dale Earnhardt
PPG Indycar World Series,Nigel Mansell
Firestone Indy Lights Championship,Bryan Herta
Halfords British F2 Championship,Philippe Adams
FIA International F3000 Championship,Pedro Lamy
IMSA Camel GT Championship,Juan Manuel Fangio II
PPG Indycar World Series,Emerson Fittipaldi
Winston Cup,Dale Earnhardt
F1 World Championship,Ayrton Senna
Winston Cup,Geoff Bodine
World Motorcycle Championship,Kevin Schwantz
Deutsche Tourenwagen Meisterschaft,Nicola Larini
Deutsche Tourenwagen Meisterschaft,Kurt Thiim
F1 World Championship,Alain Prost
FIA International F3000 Championship,Gil de Ferran
Halfords British F2 Championship,Philippe Adams
FIA International F3000 Championship,Olivier Beretta
Winston Cup,Ernie Irvan
World Motorcycle Championship,Kevin Schwantz
Deutsche Tourenwagen Meisterschaft,Nicola Larini
Deutsche Tourenwagen Meisterschaft,Klaus Ludwig
F1 World Championship,Alain Prost
Winston Cup,Rusty Wallace
Halfords British F2 Championship,Philippe Adams
PPG Indycar World Series,Paul Tracy
Winston Cup,Rusty Wallace
Firestone Indy Lights Championship,Steve Robertson
IMSA Camel GT Championship,Juan Manuel Fangio II
World Motorcycle Championship,Wayne Rainey
Deutsche Tourenwagen Meisterschaft,Bernd Schneider
Deutsche Tourenwagen Meisterschaft,Bernd Schneider
Halfords British F2 Championship,Philippe Adams
F1 World Championship,Ayrton Senna
PPG Indycar World Series,Mario Andretti
Winston Cup,Rusty Wallace
Firestone Indy Lights Championship,Sandy Brody
World Motorcycle Championship,Wayne Rainey
Deutsche Tourenwagen Meisterschaft,Nicola Larini
Deutsche Tourenwagen Meisterschaft,Nicola Larini
F1 World Championship,Ayrton Senna
Winston Cup,Dale Earnhardt
World Motorcycle Championship,Kevin Schwantz
PPG Indycar World Series,Nigel Mansell
Winston Cup,Morgan Shepherd
Juan Manuel Fangio II,Andy Wallace
F1 World Championship,Alain Prost
Winston Cup,Davey Allison
Winston Cup,Rusty Wallace
IMSA Camel GT Championship,Juan Manuel Fangio II
Winston Cup,Dale Jarrett
PJ Jones,Rocky Moran
Non-championship,Andrea Montermini
Non-championship,Roberto Colciago
Non-championship,Rickard Rydell
Winston Cup,Bill Elliott
F1 World Championship,Gerhard Berger
Winston Cup,Davey Allison
F1 World Championship,Riccardo Patrese
Winston Cup,Kyle Petty
FIA International F3000 Championship,Jean-Marc Gounon
Philippe Alliot,Mauro Baldi
PPG Indycar World Series,Michael Andretti
Firestone Indy Lights Championship,Robbie Groff
FIA International F3000 Championship,Luca Badoer
Winston Cup,Mark Martin
IMSA Camel GT Championship,PJ Jones
Deutsche Tourenwagen Meisterschaft,Roberto Ravaglia
Halfords British F2 Championship,Massimo Monti
Deutsche Tourenwagen Meisterschaft,Roberto Ravaglia
Winston Cup,Geoff Bodine
PPG Indycar World Series,Bobby Rahal
Firestone Indy Lights Championship,Robbie Buhl
IMSA Camel GT Championship,Juan Manuel Fangio II
F1 World Championship,Nigel Mansell
Winston Cup,Geoff Bodine
Winston Cup,Ricky Rudd
Deutsche Tourenwagen Meisterschaft,Bernd Schneider
Deutsche Tourenwagen Meisterschaft,Klaus Ludwig
F1 World Championship,Ayrton Senna
FIA International F3000 Championship,Andrea Montermini
PPG Indycar World Series,Emerson Fittipaldi
Firestone Indy Lights Championship,Robbie Groff
Halfords British F2 Championship,Enrico Bertaggia
Winston Cup,Rusty Wallace
Winston Cup,Darrell Waltrip
World Motorcycle Championship,John Kocinski
Halfords British F2 Championship,Yvan Muller
Deutsche Tourenwagen Meisterschaft,Bernd Schneider
Deutsche Tourenwagen Meisterschaft,Bernd Schneider
F1 World Championship,Michael Schumacher
Yannick Dalmas,Derek Warwick
PPG Indycar World Series,Michael Andretti
Firestone Indy Lights Championship,Mark Smith
FIA International F3000 Championship,Andrea Montermini
Winston Cup,Darrell Waltrip
FIA International F3000 Championship,Luca Badoer
PPG Indycar World Series,Emerson Fittipaldi
World Motorcycle Championship,Wayne Rainey
F1 World Championship,Ayrton Senna
Winston Cup,Harry Gant
Deutsche Tourenwagen Meisterschaft,Klaus Ludwig
Deutsche Tourenwagen Meisterschaft,Klaus Ludwig
PPG Indycar World Series,Emerson Fittipaldi
Winston Cup,Kyle Petty
Firestone Indy Lights Championship,Franck Freon
IMSA Camel GT Championship,Juan Manuel Fangio II
PPG Indycar World Series,Scott Goodyear
World Motorcycle Championship,Wayne Gardner
Halfords British F2 Championship,Mark Albon
Non-championship,Pedro Lamy
F1 World Championship,Nigel Mansell
Winston Cup,Ernie Irvan
IMSA Camel GT Championship,PJ Jones
FIA International F3000 Championship,Luca Badoer
Philippe Alliot,Mauro Baldi
PPG Indycar World Series,Michael Andretti
Winston Cup,Darrell Waltrip
Firestone Indy Lights Championship,Bryan Herta
IMSA Camel GT Championship,Juan Manuel Fangio II
World Motorcycle Championship,Wayne Rainey
Halfords British F2 Championship,Yvan Muller
F1 World Championship,Nigel Mansell
FIA International F3000 Championship,Luca Badoer
World Motorcycle Championship,Eddie Lawson
Deutsche Tourenwagen Meisterschaft,Johnny Cecotto
Deutsche Tourenwagen Meisterschaft,Johnny Cecotto
F1 World Championship,Nigel Mansell
PPG Indycar World Series,Bobby Rahal
Firestone Indy Lights Championship,Adrian Fernandez
Winston Cup,Ernie Irvan
PPG Indycar World Series,Michael Andretti
Firestone Indy Lights Championship,Adrian Fernandez
IMSA Camel GT Championship,Juan Manuel Fangio II
Deutsche Tourenwagen Meisterschaft,Joachim Winkelhock
Deutsche Tourenwagen Meisterschaft,Steve Soper
Halfords British F2 Championship,Yvan Muller
World Motorcycle Championship,Alex Criville
Yannick Dalmas,Derek Warwick
FIA International F3000 Championship,Andrea Montermini
PPG Indycar World Series,Michael Andretti
Winston Cup,Davey Allison
Firestone Indy Lights Championship,Franck Freon
Deutsche Tourenwagen Meisterschaft,Klaus Ludwig
Deutsche Tourenwagen Meisterschaft,Klaus Ludwig
F1 World Championship,Gerhard Berger
Winston Cup,Alan Kulwicki
IMSA Camel GT Championship,Juan Manuel Fangio II
World Motorcycle Championship,Mick Doohan
Halfords British F2 Championship,Jason Elliott
FIA International F3000 Championship,Emanuele Naspetti
PPG Indycar World Series,Bobby Rahal
Winston Cup,Ernie Irvan
Firestone Indy Lights Championship,Adrian Fernandez
F1 World Championship,Ayrton Senna
Winston Cup,Harry Gant
IMSA Camel GT Championship,Davy Jones
World Motorcycle Championship,Wayne Rainey
IMSA Camel GT Championship,Juan Manuel Fangio II
Halfords British F2 Championship,Yvan Muller
PPG Indycar World Series,Al Unser jr
Winston Cup,Dale Earnhardt
World Motorcycle Championship,Kevin Schwantz
Deutsche Tourenwagen Meisterschaft,Ellen Lohr
Deutsche Tourenwagen Meisterschaft,Roland Asch
F1 World Championship,Nigel Mansell
FIA International F3000 Championship,Jordi Gene
Yannick Dalmas,Derek Warwick
World Motorcycle Championship,Mick Doohan
Deutsche Tourenwagen Meisterschaft,Steve Soper
Deutsche Tourenwagen Meisterschaft,Bernd Schneider
F1 World Championship,Nigel Mansell
Winston Cup,Davey Allison
Deutsche Tourenwagen Meisterschaft,Jorg van Ommen
Deutsche Tourenwagen Meisterschaft,Keke Rosberg
Geoff Lees,Hitoshi Ogawa
Winston Cup,Mark Martin
IMSA Camel GT Championship,Davy Jones
Halfords British F2 Championship,Jason Elliott
World Motorcycle Championship,Mick Doohan
Deutsche Tourenwagen Meisterschaft,Frank Biela
Deutsche Tourenwagen Meisterschaft,Roland Asch
Halfords British F2 Championship,Peter Kox
PPG Indycar World Series,Danny Sullivan
Winston Cup,Davey Allison
Firestone Indy Lights Championship,Franck Freon
World Motorcycle Championship,Mick Doohan
F1 World Championship,Nigel Mansell
PPG Indycar World Series,Bobby Rahal
Winston Cup,Alan Kulwicki
Firestone Indy Lights Championship,Adrian Fernandez
Deutsche Tourenwagen Meisterschaft,Kurt Thiim
Deutsche Tourenwagen Meisterschaft,Kurt Thiim
Winston Cup,Bill Elliott
World Motorcycle Championship,Mick Doohan
F1 World Championship,Nigel Mansell
PPG Indycar World Series,Emerson Fittipaldi
Juan Manuel Fangio II,Andy Wallace
Winston Cup,Bill Elliott
Winston Cup,Bill Elliott
F1 World Championship,Nigel Mansell
Winston Cup,Bill Elliott
IMSA Camel GT Championship,Geoff Brabham
Winston Cup,Davey Allison
Kazuyoshi Hoshino,Toshio Suzuki
Non-championship,Jordi Gene
Non-championship,David Coulthard
Winston Cup,Mark Martin
F1 World Championship,Ayrton Senna
Winston Cup,Davey Allison
Michael Schumacher,Karl Wendlinger
F1 World Championship,Gerhard Berger
CART/PPG Indycar World Series,Michael Andretti
Winston Cup,Davey Allison
Firestone Indy Lights Championship,Mark Smith
Deutsche Tourenwagen Meisterschaft,Frank Biela
Deutsche Tourenwagen Meisterschaft,Frank Biela
IMSA Camel GT Championship,Juan Manuel Fangio II
British F3000 Championship,Julian Westwood
FIA International F3000 Championship,Christian Fittipaldi
Yannick Dalmas,Keke Rosberg
CART/PPG Indycar World Series,Arie Luyendyk
Winston Cup,Geoff Bodine
Firestone Indy Lights Championship,Robbie Buhl
Deutsche Tourenwagen Meisterschaft,Klaus Ludwig
Deutsche Tourenwagen Meisterschaft,Steve Soper
F1 World Championship,Nigel Mansell
Winston Cup,Dale Earnhardt
World Motorcycle Championship,John Kocinski
Deutsche Tourenwagen Meisterschaft,Frank Biela
Deutsche Tourenwagen Meisterschaft,Frank Biela
F1 World Championship,Riccardo Patrese
FIA International F3000 Championship,Antonio Tamburini
CART/PPG Indycar World Series,Michael Andretti
Winston Cup,Harry Gant
British F3000 Championship,Fredrik Ekblom
