prvenstvo,zmagovalec
FIA Formula E Championship,Felix Rosenqvist
FIA Formula E Championship,Felix Rosenqvist
FIA Formula E Championship,Sam Bird
World Touring Car Championship,Tom Chilton
World Touring Car Championship,Esteban Guerrieri
FIA Formula 2 Championship,Charles Leclerc
F1 World Championship,Valtteri Bottas
GP3 Series,Dorian Boccolacci
FIA Formula 2 Championship,Artem Markelov
GP3 Series,Niko Kari
World Touring Car Championship,Mehdi Bennani
World Touring Car Championship,Rob Huff
Non-championship,Dan Ticktum
Monster Energy NASCAR Cup,Martin Truex jr
Sebastien Buemi,Anthony Davidson
Formula V8 3.5 Championship,Rene Binder
Formula V8 3.5 Championship,Henrique Chaves jr
World Motorcycle Championship,Dani Pedrosa
Monster Energy NASCAR Cup,Matt Kenseth
F1 World Championship,Sebastian Vettel
Kazuki Nakajima,Sebastien Buemi
Monster Energy NASCAR Cup,Kevin Harvick
World Motorcycle Championship,Andrea Dovizioso
World Touring Car Championship,Tom Chilton
World Touring Car Championship,Norbert Michelisz
Monster Energy NASCAR Cup,Kyle Busch
F1 World Championship,Max Verstappen
World Motorcycle Championship,Marc Marquez
Monster Energy NASCAR Cup,Martin Truex jr
F1 World Championship,Lewis Hamilton
Kazuki Nakajima,Sebastien Buemi
World Motorcycle Championship,Andrea Dovizioso
World Touring Car Championship,Esteban Guerrieri
World Touring Car Championship,Nestor Girolami
Monster Energy NASCAR Cup,Brad Keselowski
European F3 Championship,Maximilian Gunther
Deutsche Tourenwagen Meisterschaft,Marco Wittmann
European F3 Championship,Joel Eriksson
European F3 Championship,Callum Ilott
Deutsche Tourenwagen Meisterschaft,Jamie Green
Monster Energy NASCAR Cup,Martin Truex jr
FIA Formula 2 Championship,Artem Markelov
GP3 Series,Alessio Lorandi
F1 World Championship,Lewis Hamilton
Brendon Hartley,Ryan Dalziel
FIA Formula 2 Championship,Charles Leclerc
GP3 Series,Nirei Fukuzumi
Monster Energy NASCAR Cup,Kyle Busch
Felix Serralles,Daniel Juncadella
F1 World Championship,Max Verstappen
World Motorcycle Championship,Marc Marquez
Marc Goossens,Renger van der Zande
Monster Energy NASCAR Cup,Kyle Busch
European F3 Championship,Joel Eriksson
European F3 Championship,Joel Eriksson
Japanese Super Formula Championship,Yuhi Sekiguchi
Deutsche Tourenwagen Meisterschaft,Rene Rast
European F3 Championship,Callum Ilott
Deutsche Tourenwagen Meisterschaft,Mattias Ekstrom
Verizon IndyCar Series,Simon Pagenaud
Monster Energy NASCAR Cup,Martin Truex jr
F1 World Championship,Lewis Hamilton
Earl Bamber,Timo Bernhard
Formula V8 3.5 Championship,Egor Orudzhev
Formula V8 3.5 Championship,Rene Binder
European F3 Championship,Jake Hughes
European F3 Championship,Lando Norris
Japanese Super Formula Championship,Pierre Gasly
Deutsche Tourenwagen Meisterschaft,Robert Wickens
World Motorcycle Championship,Marc Marquez
Monster Energy NASCAR Cup,Kyle Larson
European F3 Championship,Lando Norris
